SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,STE INTE,0,1,2,0,50
NCRMP,SEFCRI,2016,Deerfield,3160,26.2958,-80.0747,NEAR0,RGSH,0,SID SIDE,0,0,4,0,0
NCRMP,SEFCRI,2016,Deerfield,3160,26.2958,-80.0747,NEAR0,RGSH,0,SOL BOUR,2,2,6,33.3,33.3
NCRMP,SEFCRI,2016,Deerfield,3162,26.3288,-80.0662,MIDR0,LIRM,0,MON CAVE,1,0,3,33.3,0
NCRMP,SEFCRI,2016,Deerfield,3162,26.3288,-80.0662,MIDR0,LIRM,0,POR ASTR,0,1,2,0,50
NCRMP,SEFCRI,2016,Deerfield,3162,26.3288,-80.0662,MIDR0,LIRM,0,SID SIDE,4,1,7,57.1,14.3
NCRMP,SEFCRI,2016,Deerfield,3162,26.3288,-80.0662,MIDR0,LIRM,0,SOL BOUR,0,1,1,0,100
NCRMP,SEFCRI,2016,Deerfield,3162,26.3288,-80.0662,MIDR0,LIRM,0,STE INTE,0,3,3,0,100
NCRMP,SEFCRI,2016,Deerfield,3165,26.3106,-80.0655,MIDR0,LIRM,0,MON CAVE,0,2,3,0,66.7
NCRMP,SEFCRI,2016,Deerfield,3165,26.3106,-80.0655,MIDR0,LIRM,0,POR ASTR,0,1,1,0,100
NCRMP,SEFCRI,2016,Deerfield,3165,26.3106,-80.0655,MIDR0,LIRM,0,SID RADI,1,1,1,100,100
NCRMP,SEFCRI,2016,Deerfield,3165,26.3106,-80.0655,MIDR0,LIRM,0,SID SIDE,0,3,3,0,100
NCRMP,SEFCRI,2016,Deerfield,3165,26.3106,-80.0655,MIDR0,LIRM,0,STE INTE,0,1,1,0,100
NCRMP,SEFCRI,2016,Deerfield,3167,26.3696,-80.0545,OFFR1,LIRO,0,POR ASTR,0,0,1,0,0
NCRMP,SEFCRI,2016,Deerfield,3167,26.3696,-80.0545,OFFR1,LIRO,0,STE INTE,0,1,2,0,50
NCRMP,SEFCRI,2016,Deerfield,3172,26.3336,-80.0578,OFFR1,SPGR,0,MON CAVE,1,0,2,50,0
NCRMP,SEFCRI,2016,Deerfield,3172,26.3336,-80.0578,OFFR1,SPGR,0,POR ASTR,0,0,2,0,0
NCRMP,SEFCRI,2016,Deerfield,3172,26.3336,-80.0578,OFFR1,SPGR,0,SID SIDE,1,0,1,100,0
NCRMP,SEFCRI,2016,Deerfield,3172,26.3336,-80.0578,OFFR1,SPGR,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Deerfield,3174,26.3006,-80.0601,OFFR1,SPGR,0,AGA LAMA,1,0,3,33.3,0
NCRMP,SEFCRI,2016,Deerfield,3174,26.3006,-80.0601,OFFR1,SPGR,0,MON CAVE,3,1,3,100,33.3
NCRMP,SEFCRI,2016,Deerfield,3174,26.3006,-80.0601,OFFR1,SPGR,0,POR ASTR,0,0,2,0,0
NCRMP,SEFCRI,2016,Deerfield,3174,26.3006,-80.0601,OFFR1,SPGR,0,SID SIDE,1,0,3,33.3,0
